time,id,type,link,lane,x,y,angle,speed.mph,pos,accel.fpss
5.00,B54_0_1,1509,221605483#0,0,4636.5815132,15241.9952384,92.15,1.1855782000000001,27.198163599999997,2.8871392
5.00,B62_0_1,1509,221605483#0,0,4671.9489684,15240.650094,92.15,9.5964726,62.598427199999996,2.7559055999999997
5.00,add_2_0_5,1509,5676999#0,0,5637.795456,14827.0674036,272.45,8.388525000000001,24.376641199999998,4.0682416
5.10,11_29_0_3,4518,46121854,0,6094.7836596,12801.5424044,116.93,19.3047922,60.498689600000006,9.3832024
5.10,14_5_0_9,4518,-222251427#2,0,8621.128884799999,10544.61976,284.77,6.934514000000001,21.259843200000002,8.595800800000001
5.10,1_4_0_1,5018,5677903#1,1,5231.6930808,15404.757710799999,158.58,16.7099418,122.9002664,-4.92126
5.10,24_31_0_0,1509,23334065#2,0,9098.753572000001,8800.3939824,284.38,14.092722,59.4160124,3.9041995999999997
5.10,27_3_0_11,4518,5681969#1,0,7872.277154799999,8960.6630164,116.67,6.979252800000001,21.259843200000002,9.448819199999999
5.10,31_5_0_7,4518,-222258277#5,0,9221.4897964,7667.7823976,330.79,13.041360200000002,36.2860904,9.4816276
5.10,4_1_0_2,5018,41381890#0.0,1,5525.8860036,14385.1054472,90.84,18.0968446,94.2913416,-4.92126
5.10,4_5_0_6,8025,41381890#0.0,1,5472.3098864,14385.892848799998,90.84,10.603095600000001,40.7152244,8.8254596
5.10,7_add_0_4,4518,107391104#10,0,7351.214146,13027.3298132,272.29,19.2824228,60.662731599999994,9.514436
5.10,B38_0_1,1509,-46121861#1,0,5689.304644,13009.2523848,117.04,9.8201666,64.1732304,2.6902888
5.10,B54_0_1,1509,221605483#0,0,4636.7783635999995,15241.9952384,92.15,1.3869028,27.395014,2.9199476
5.10,B62_0_1,1509,221605483#0,0,4673.392538,15240.617285600001,92.15,9.775427800000001,64.04199679999999,2.6902888
5.10,add_2_0_5,1509,5676999#0,0,5636.5487367999995,14827.100212000001,272.45,8.6793272,25.6561688,4.265092
5.20,11_29_0_3,4518,46121854,0,6097.4083316,12800.19726,116.93,19.908766000000004,63.41863719999999,8.7270344
5.20,14_5_0_9,4518,-222251427#2,0,8620.079016,10544.915035600001,284.77,7.5384878,22.375328800000002,8.858268
5.20,1_4_0_1,5018,5677903#1,1,5232.546099200001,15402.526739599998,158.58,16.3744008,125.29527959999999,-4.92126
5.20,24_31_0_0,1509,23334065#2,0,9096.719451199999,8800.9189168,284.38,14.361154800000001,61.51575,4.0026247999999995
5.20,27_3_0_11,4518,5681969#1,0,7873.2614068,8960.1708904,116.67,7.583226600000001,22.375328800000002,8.8254596
5.20,31_5_0_7,4518,-222258277#5,0,9220.505544399999,7669.5540512,330.79,13.690072800000001,38.320211199999996,9.514436
5.20,4_1_0_2,5018,41381890#0.0,1,5528.5106756,14385.072638799998,90.84,17.7613036,96.9160136,-4.92126
5.20,4_5_0_6,8025,41381890#0.0,1,5473.9503064,14385.8600404,90.84,11.251808200000001,42.3556444,9.2847772
5.20,7_add_0_4,4518,107391104#10,0,7348.294198400001,13027.4282384,272.29,19.931135400000002,63.582679199999994,9.4160108
5.20,B38_0_1,1509,-46121861#1,0,5690.61698,13008.563408400001,117.04,9.9991218,65.6496084,2.7559055999999997
5.20,B54_0_1,1509,221605483#0,0,4637.008022399999,15241.96243,92.15,1.5882274,27.6246728,2.7887139999999997
5.20,B62_0_1,1509,221605483#0,0,4674.868916,15240.551668799999,92.15,9.9767524,65.4855664,2.9199476
5.20,add_2_0_5,1509,5676999#0,0,5635.2364007999995,14827.165828799998,272.45,8.94776,26.9685048,4.0026247999999995
5.30,11_29_0_3,4518,46121854,0,6100.0986204,12798.8521156,116.93,20.5574786,66.43701,9.514436
